song_id,title,artist,lyrics
1,Imagine,John Lennon,song about peace and unity dreaming of better world
2,Hallelujah,Leonard Cohen,spiritual song with religious themes and emotional depth
3,Let It Be,The Beatles,comforting song about acceptance and letting things happen naturally
4,Bohemian Rhapsody,Queen,epic rock opera with dramatic changes and theatrical elements
5,Shape of You,Ed Sheeran,upbeat pop song about attraction and dancing at clubs
6,Blinding Lights,The Weeknd,synthwave pop about driving through neon city nights
7,Someone Like You,Adele,emotional ballad about lost love and moving forward
8,Thinking Out Loud,Ed Sheeran,romantic love song about growing old together
9,Rolling in the Deep,Adele,powerful soul song about betrayal and heartbreak
10,Uptown Funk,Mark Ronson ft. Bruno Mars,funky dance track with retro vibes and swagger
11,Despacito,Luis Fonsi ft. Daddy Yankee,latin pop reggaeton about romance and attraction
12,Old Town Road,Lil Nas X,country rap fusion about riding horses and freedom
13,Bad Guy,Billie Eilish,dark pop song with whispered vocals and bass drops
14,Watermelon Sugar,Harry Styles,summery pop song about sweet sensations and good times
15,Levitating,Dua Lipa,disco pop about feeling weightless and dancing all night
16,Stay,The Kid LAROI & Justin Bieber,emotional pop song about wanting someone to remain close
17,Good 4 U,Olivia Rodrigo,pop rock anthem about moving on after relationships
18,Anti-Hero,Taylor Swift,introspective pop song about self-doubt and personal flaws
19,As It Was,Harry Styles,nostalgic pop ballad about change and missing the past
20,Heat Waves,Glass Animals,dreamy indie pop about longing and hazy summer feelings
21,Drivers License,Olivia Rodrigo,emotional ballad about heartbreak and growing up
22,Peaches,Justin Bieber ft. Daniel Caesar,smooth R&B about love and sweet relationships
23,Flowers,Miley Cyrus,empowering pop anthem about self-love and independence
24,Unholy,Sam Smith ft. Kim Petras,dark pop song with gospel influences and bold themes
25,About Damn Time,Lizzo,uplifting funk pop about self-confidence and good vibes
26,Industry Baby,Lil Nas X ft. Jack Harlow,confident rap about success and breaking barriers
27,Sunflower,Post Malone & Swae Lee,mellow hip hop about loyalty and relationships
28,Circles,Post Malone,melancholic pop about repeating patterns in relationships
29,Senorita,Shawn Mendes & Camila Cabello,latin influenced pop duet about romantic attraction
30,Thank U Next,Ariana Grande,empowering pop song about gratitude and moving forward
31,Shallow,Lady Gaga & Bradley Cooper,powerful duet about finding depth in love and life
32,Perfect,Ed Sheeran,tender love song about finding your soulmate and dancing
33,Havana,Camila Cabello ft. Young Thug,latin pop song about Cuban romance and nostalgia
34,God's Plan,Drake,hip hop track about destiny success and helping others
35,Rockstar,Post Malone ft. 21 Savage,trap song about fame lifestyle and material success
36,Thunder,Imagine Dragons,energetic pop rock about self-empowerment and lightning energy
37,Closer,The Chainsmokers ft. Halsey,electronic pop about rekindling past relationships
38,Can't Stop the Feeling,Justin Timberlake,upbeat dance pop about joy and celebration
39,Stressed Out,Twenty One Pilots,alternative rap about nostalgia and adult pressures
40,Counting Stars,OneRepublic,indie pop rock about dreams ambition and taking chances
41,Radioactive,Imagine Dragons,alternative rock anthem about transformation and awakening
42,Happy,Pharrell Williams,infectious pop song about pure joy and positive feelings
43,All of Me,John Legend,romantic piano ballad about unconditional love and acceptance
44,Roar,Katy Perry,empowering pop anthem about finding your voice and inner strength
45,What Makes You Beautiful,One Direction,pop song about natural beauty and young love
46,Call Me Maybe,Carly Rae Jepsen,catchy pop song about instant attraction and phone numbers
47,Gangnam Style,PSY,K-pop dance track about luxury lifestyle and Korean culture
48,Somebody That I Used to Know,Gotye ft. Kimbra,indie pop about relationship endings and moving on
49,We Are Young,Fun ft. Janelle Monae,anthemic indie pop about youth freedom and tonight
50,Rolling in the Deep,Adele,soulful song about betrayal revenge and emotional fire
